type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
OmniaModel,cep_models.prop_modl_save,PROPENSITY_MODEL_SAVINGS,PropensitySavings,P1Y,,,,Savings2015
Integer,cep_customer_features.home_buy_prop_app_borr_calo_usge_07,PROP_APP_BORR_CALO_USGE_07,PopertyAppBorrowCalcUsge07,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_calo_usge_07,PROP_APP_CALO_USGE_07,PopertyAppCalculatorUsge07,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_calo_usge_30,PROP_APP_CALO_USGE_30,PopertyAppCalculatorUsge30,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_calo_usge_90,PROP_APP_CALO_USGE_90,PopertyAppCalculatorUsge90,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_fvrt_cnt_07,PROP_APP_FVRT_CNT_07,PopertyAppFavouriteCount07,P2D,,,,
Integer,cep_customer_features.home_buy_prop_app_fvrt_cnt_30,PROP_APP_FVRT_CNT_30,PopertyAppFavouriteCount30,P2D,,,,
Integer,cep_customer_features.home_buy_prop_app_fvrt_cnt_90,PROP_APP_FVRT_CNT_90,PopertyAppFavouriteCount90,P2D,,,,
DateTime,cep_customer_features.home_buy_prop_app_regr_date,PROP_APP_REGR_DATE,PopertyAppRegistrationDate,P2D,,Australia/Sydney,Australia/Sydney,
Integer,cep_customer_features.home_buy_prop_app_rpay_calo_usge_07,PROP_APP_RPAY_CALO_USGE_07,PopertyAppRpayCalcUsge07,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_srch_07,PROP_APP_SRCH_07,PopertyAppSearchCount07,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_srch_30,PROP_APP_SRCH_30,PopertyAppSearchCount30,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_srch_90,PROP_APP_SRCH_90,PopertyAppSearchCount90,P1D,,,,
Integer,cep_customer_features.home_buy_prop_app_upfr_calo_usge_07,PROP_APP_UPFR_CALO_USGE_07,PopertyAppUpfrontCalcUsge07,P1D,,,,
OmniaModel,cep_models.cbaapp,PROP_MODEL_CBA_APP,PropensityCbaApp,P1Y,,,,CBAApp
OmniaModel,cep_models.prop_modl_ccautopay,PROP_MODEL_CCAUTOPAY,PropensityCCAutoPay,P1Y,,,,CCAutoPay
OmniaModel,cep_models.prop_modl_everydayoffset,PROP_MODEL_EVERYDAYOFFSET,PropensityEverydayOffset,P1Y,,,,EverydayOffset
OmniaModel,cep_models.prop_modl_prem_ckin_fhc,PROP_MODEL_FHC_CHCKIN_PR,PropensityFHCCheckInPremier,P1Y,,,,FHCMass2015
OmniaModel,cep_models.prop_modl_ckin_fhc,PROP_MODEL_FHC_CUST_CHCK,PropensityFHCCustCheckIn,P1Y,,,,FHCMass2015
OmniaModel,cep_models.prop_modl_mass_fhc,PROP_MODEL_FHC_MSS_SCORE,PropensityFHCMass,P1Y,,,,FHCMass2015
OmniaModel,cep_models.prop_modl_homecontentinsurance,PROP_MODEL_HOMEINSURANCE,PropensityHomeInsurance,P1Y,,,,HomeContentInsurance
OmniaModel,cep_models.prop_modl_lpi,PROP_MODEL_LOANPROTECTION,PropensityLoanProtection,P1Y,,,,LPI
OmniaModel,cep_models.nbregistration,PROP_MODEL_NB_REGR,PropensityNetbankRegistration,P1Y,,,,NBRegistration
Model,cep_customer_features.prop_modl_crcd,PROP_MODEL_PERS_CC_SCORE,PropensityPersonalCC,P1Y,,,,
OmniaModel,cep_models.prop_modl_icmp_pl_appt,PROP_MODEL_PL_APP_INCOMP,PropensityIncompleteAppPL,P1Y,,,,IncompleteAppPL2015
OmniaModel,cep_models.prop_modl_salarycredit,PROP_MODEL_SALARYCREDIT,PropensitySalaryCredit,P1Y,,,,SalaryCredit
OmniaModel,cep_models.prop_modl_simplebusinessoverdraft,PROP_MODEL_SBOD,PropensitySimpleBusinessOverdraft,P1Y,,,,SimpleBusinessOverdraft
Double,cep_customer_features.cfam_awrd_acqn_1b,PROP_MODL_CFAM_AWRD_ACQN_1B,PropensityCardFamAwrdAcqn1B,P2D,,,,
Double,cep_customer_features.cfam_lrlf_acqn_1b,PROP_MODL_CFAM_LRLF_ACQN_1B,PropensityCardFamLRLFAcqn1B,P2D,,,,
Double,cep_customer_features.cfam_plbc_acqn_1b,PROP_MODL_CFAM_PLBC_ACQN_1B,PropensityCardFamPLBCAcqn1B,P2D,,,,
Double,cep_customer_features.cfam_prem_acqn_1b,PROP_MODL_CFAM_PREM_ACQN_1B,PropensityCardFamPremAcqn1B,P2D,,,,
Model,cep_customer_features.prop_modl_cfp_acq,PROP_MODL_CFP_ACQ,PropModlCFPAcquisition,P1Y,,,,
Double,cep_customer_features.crcd_acqn_1s,PROP_MODL_CRCD_ACQN_1S,PropensityCRCDAcqn1S,P2D,,,,
Model,cep_customer_features.prop_modl_cust_chnl_dmc,PROP_MODL_CUST_CHNL_DMC,PropModlCustChnlDmc,P1Y,,,,
Model,cep_customer_features.prop_modl_cust_chnl_nbb,PROP_MODL_CUST_CHNL_NBB,PropModlCustChnlNbb,P1Y,,,,
Model,cep_customer_features.prop_modl_cust_chnl_poc,PROP_MODL_CUST_CHNL_POC,PropModlCustChnlPoc,P1Y,,,,
Model,cep_customer_features.prop_modl_cust_chnl_uib,PROP_MODL_CUST_CHNL_UIB,PropModlCustChnlUib,P1Y,,,,
Double,cep_customer_features.esnt_supr_acqn_1s,PROP_MODL_ESNT_SUPR_ACQN_1S,PropensitySuperAcqn1S,P2D,,,,
Double,cep_customer_features.fncl_advc_d,PROP_MODL_FNCL_ADVC_1D,FinancialAdvice1DScore,P2D,,,,
Double,cep_customer_features.hlpr_insr_acqn_1s,PROP_MODL_HLPR_INSR_ACQN_1S,PropensityHlprInsrAcqn1s,P2D,,,,
Double,cep_customer_features.prop_modl_hl_acq_swit_v2,PROP_MODL_HL_ACQ_SWIT,PropModlHlAcqSwit,P1Y,,,,
Model,cep_customer_features.prop_modl_hl_ext_rfnc_0_to_90,PROP_MODL_HL_EXT_RFNC_0_90,PropModlHLExtRfnc0To90,P1Y,,,,
Model,cep_customer_features.prop_modl_hl_ext_rfnc_90_to_180,PROP_MODL_HL_EXT_RFNC_90_180,PropModlHLExtRfnc90To180,P1Y,,,,
Model,cep_customer_features.prop_modl_hl_frm,PROP_MODL_HL_FIX_RATE_MTUR,PropModlHLFixRateMaturity,P1Y,,,,
Model,cep_customer_features.prop_modl_hl_rdrw,PROP_MODL_HL_REDRAW,PropModlHLRedraw,P1Y,,,,
Model,cep_customer_features.prop_modl_hl_top_up,PROP_MODL_HL_TOP_UP,PropModlHLTopUp,P1Y,,,,
Double,cep_customer_features.home_insr_acqn_1s,PROP_MODL_HOME_INSR_ACQN_1S,PropensityHomeInsrAcqn1s,P2D,,,,
Double,cep_customer_features.home_loan_acqn_1s,PROP_MODL_HOME_LOAN_ACQN_1S,PropensityHomeLoanAcqn1S,P2D,,,,
Double,cep_customer_features.motr_insr_acqn_1s,PROP_MODL_MOTR_INSR_ACQN_1S,PropensityMotrInsrAcqn1s,P2D,,,,
Double,cep_customer_features.nbsa_atrn_2018,PROP_MODL_NBSA_ATRN_2018,PropensityNBSAATRN,P2D,,,,
Double,cep_customer_features.prsl_loan_acqn_1s,PROP_MODL_PRSL_LOAN_ACQN_1S,PropensityPrslLoanAcqn1S,P2D,,,,
Double,cep_customer_features.prsl_loan_rdrw_1b,PROP_MODL_PRSL_LOAN_RDRW_1B,PropensityPrslLoanRdrw1b,P2D,,,,
Double,cep_customer_features.prsl_loan_turf_1b,PROP_MODL_PRSL_LOAN_TURF_1B,PropensityPrslLoanTurf1b,P2D,,,,
Double,cep_customer_features.prsl_ovdr_acqn_1b,PROP_MODL_PRSL_OVDR_ACQN_1B,PropensityPrslOvdrAcqn1B,P2D,,,,
Double,cep_customer_features.rght_paty_cnnc,PROP_MODL_RGHT_PATY_CNNT,PropensityRghtPatyCnnt,P2D,,,,
Model,cep_customer_features.prop_modl_sb_semp_scor,PROP_MODL_SB_SEMP_SCOR,PropModlSBSempScor,P1M,,,,
Double,cep_customer_features.smal_busn_look,PROP_MODL_SMAL_BUSN_LOOK,PropensitySmallBusnLookalike,P2D,,,,
Double,cep_customer_features.smsf_acqr,PROP_MODL_SMSF_ACQR,SMSFAcqScore,P2D,,,,
Double,cep_customer_features.tran_acct_look,PROP_MODL_TRAN_ACCT_LOOK,PropensityTranLook,P2D,,,,
Integer,cep_customer_features.crcd_prsl_cnt_has_amex,PRSL_AMEX_CNT,CountPrslAmex,P2D,,,,
Integer,cep_customer_features.pj_onb_prsl_tran_dep_last_3_mnth_cnt,PRSL_TRAN_ACCT_DEP_CNT_3M,CountPrslTranAcctDeposit3M,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_dtdr_last_1_mnth_cnt,PRSL_TRAN_DTDR_CNT_1_MNTH,CountPersTranDirDeb1M,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_trnf_app_last_3_mnth_cnt,PRSL_TRAN_TRNF_APP_3M,CountTrnfAppPrslTran3M,P2D,,,,
DenseDate,cep_customer_features.cust_prtf_d,PRTF_ORIG_CUST_REL_ESTB_D,CustomerPortfolioStartDate,P1D,,,,
BooleanString,cep_customer_features.gdw_trig_prvt_bnkg_cust,PRVT_BNKNG_CUST,PrivateBankingCustomer,P2D,,,,
BooleanString,cep_customer_features.prvt_flag,PRVT_FLAG,PrivateCustomerFlag,P1D,,,,
BooleanString,cep_customer_features.qwik_and_stnd_rsvl_6m_flag,QWIK_AND_STND_RSVL_6M_FLAG,QuickandStandardResolve6M,P2D,,,,
BooleanString,cep_customer_features.rbs_flag,RBS_FLAG,IsRBSCustomer,P1D,,,,
String,cep_customer_features.rdo1865_f,RDO1865_F,Rdo1865F,P1D,2,,,
Date,cep_customer_features.rdo1865_paymentdate,RDO1865_PAYMENTDATE,RdoPaymentDate,P1D,,,,
BooleanString,cep_customer_features.regr_mobl_payt,REGR_MOBL_PAYT,CustRegisteredForMobPymts,P2D,,,,
BooleanString,cep_customer_features.rel_mnge_flag,REL_MNGE_FLAG,RelationshipManagedFlag,P1D,,,,
Double,cep_customer_features.pj_onb_retl_save_acct_baln_sum,RETAIL_SAVINGS_ACCT_BAL_SUM,SumRetailSavingsAccount,P2D,,,,
Integer,cep_customer_features.pj_onb_retl_save_dep_last_3_mnth_cnt,RETAIL_SAV_ACCT_DEP_CNT_3M,CountRetlSavAcctDeposit3M,P2D,,,,
BooleanString,cep_customer_features.retn_to_send_flag,RETURN_TO_SENDER_F,ReturnToSenderFlag,P2D,,,,
BooleanString,cep_customer_features.rm_flag,RM_F,IsRelationshipManaged,P2D,,,,
String,cep_customer_features.rm_flag_td,RM_FLAG_TD,RMFlagForTermDeposit,P2D,50,,,
String,cep_customer_features.rm_idnn,RM_ID,RMId,P1D,25,,,
String,cep_customer_features.routed_lender_id,ROUTED_LENDER_ID,RoutedLenderId,P1D,20,,,
BooleanString,cep_customer_features.rurl_agri_busn_cust,RURL_AGRI_BUSN_CUST,RurlAgriBusnCustomer,P1D,,,,
String,cep_customer_features.sale_grup_idnn,SALE_GRUP_IDNN,SalesGroupIdnn,P1D,20,,,
BooleanString,cep_customer_features.sap_bp_tfn_flag_v2,SAP_BP_TFN_FLAG,HasTFN,P2D,,,,
Double,cep_customer_features.sum_acct_baln_save_prsl,SAVINGS_ACCT_BALN_AMT,SavingsAccountPersonalBalance,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_sa_nt_pilt_cust_flag_v2,SA_NT_PILOT_CUSTOMER_FLAG,SouthAusNortTerPilotCustomer,P1D,,,,
DenseDateTime,cep_customer_features.cmse_low_lat_sbo_appt_last_dcln_date,SBO_APPT_LAST_DECL_DATE,SBOAppLastDeclineDate,P2D,,Australia/Sydney,Australia/Sydney,
DenseDateTime,cep_customer_features.cmse_low_lat_sbo_appt_last_refr_date,SBO_APPT_LAST_REFER_DATE,SBOLastReferredDate,P2D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.sbo_cust_need_code,SBO_CUST_NEED_CODE,SBOCustomerNeedCode,P2D,10,,,
String,cep_customer_features.sbo_cust_need_desn,SBO_CUST_NEED_DESC,SBOCustomerNeedDesc,P2D,50,,,
BooleanString,cep_customer_features.gdw_trig_sbo_flag,SBO_FLAG,SboFlag,P2D,,,,
DenseDateTime,cep_customer_features.cmse_low_lat_sbo_appt_last_stus_date,SBO_LAST_APPT_STUS_CODE_DATE,SBOAppLastStatusDate,P2D,,Australia/Sydney,Australia/Sydney,
String,cep_customer_features.cmse_low_lat_sbo_appt_last_stus_desn,SBO_LAST_APPT_STUS_CODE_DESC,SBOAppLastStatusDesc,P2D,100,,,
Double,cep_customer_features.sbo_papp_amt,SBO_PAPP_AMT,SBOPreApprovedAmt,P2D,,,,
Date,cep_customer_features.sbo_papp_efft_date,SBO_PAPP_EFFT_DATE,SBOPreApprovalEffectiveDate,P2D,,,,
Date,cep_customer_features.sbo_papp_expy_date,SBO_PAPP_EXPY_DATE,SBOPreApprovalExpiryDate,P2D,,,,
String,cep_customer_features.sbo_papp_type,SBO_PAPP_TYPE,SBOPreApprovalType,P2D,10,,,
String,cep_customer_features.servicensw_12m_f,SERVICENSW_12M_F,ServiceNSW12mF,P1D,2,,,
Date,cep_customer_features.sg_busn_revw_ltst_date,SG_BUSN_REVW_LTST_DATE,SalesGroupLatestBRDate,P1D,,,,
BooleanString,cep_customer_features.sale_grup_prim_clnt_flag,SG_PRIM_CLNT_FLAG,IsSGPrimaryClient,P1D,,,,
Integer,cep_customer_features.cmse_smpl_home_seek_flag_cnt,SIMPLE_HOME_SEEKER_FLAG_CNT,SimpleHomeSeekerFlagCount,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_smal_busn_cust,SMAL_BUSN_CUST,SmallBusinessCustomer,P2D,,,,
BooleanString,cep_customer_features.cse_cust_idnn_fail_flag,STAFF_FAIL_ID_CUST,StaffFailIDCust,P1D,,,,
Double,cep_customer_features.sum_acct_baln_pdct_hl,SUM_ACCT_BALN_HL_AMT,HomeLoanAccountBalance,P2D,,,,
Double,cep_customer_features.sum_acct_baln_pdct_vloc,SUM_ACCT_BALN_PDCT_VLOC_AMT,VLOCAccountBalance,P2D,,,,
Double,cep_customer_features.sum_mnth_acct_fees,SUM_FEES_MNTH_ACCT_AMT,SumMonthlyAccountKeepingFees,P2D,,,,
BooleanString,ect.t2_recruitment_eligibility,T2_RECRUITMENT_ELIGIBILITY,Tier2RecruitmentEligibility,P1Y,,,,
String,ect.t3_experimental_group,T3_EXPERIMENTAL_GROUP,Tier3ExperimentalGroup,P1Y,10,,,
Double,cep_customer_features.pj_term_dep_baln_curr_sum,TD_BALN_CURR,CurrBalanceTermDeposit,P2D,,,,
BooleanString,cep_customer_features.thrd_paty_cust_flag,THIRD_PARTY_CUST,IsThirdPartyCustomer,P2D,,,,
String,cep_customer_features.dummy_feature_name,TITLE_CODE,Title,P2D,15,,,
Date,cep_customer_features.tmc_acct_ltst_clse_date,TMC_ACCT_LTST_CLSE_DATE,TMCLatestCloseDate,P1D,,,,
Date,cep_customer_features.tmc_acct_ltst_open_date,TMC_ACCT_LTST_OPEN_DATE,TMCLatestAcctOpenDate,P1D,,,,
DenseDate,cep_aar.ycs_acct_ltst_rlod_date,TMC_ACCT_LTST_RLOD_DATE,TMCLatestReloadDate,P2D,,,,
String,cep_customer_features.toll_12m_flag,TOLL_12M_FLAG,TollFlag12M,P2D,2,,,
Double,cep_customer_features.toll_sum_3m,TOLL_SUM_3M,TollSum3M,P2D,,,,
Double,cep_customer_features.sum_tran_acct_baln_prsl,TRAN_ACCT_BALN_AMT,TransactionAccountBalance,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_bpay_last_3_mnth_cnt,TRAN_BPAY_CNT_3_MNTH,CountOfBpayTrxLast3M,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_bpay_last_6_mnth_cnt,TRAN_BPAY_CNT_6_MNTH,CountOfBpayTrxLast6M,P2D,,,,
Double,cep_customer_features.tran_acct_prsl_sum_dish_fee,TRAN_SUM_DISHONOUR_FEES_AMT,TxAccountSumDishonourFees,P2D,,,,
Integer,cep_customer_features.pj_prsl_tran_trnf_ntb_last_3_mnth_cnt,TRFR_LAST_3_MNTH_CNT,CountOfNBankTransfers3Month,P2D,,,,
Date,cep_customer_features.trvl_end_date,TRVL_END_DATE,CustTravelReturnDate,P2D,,,,
Date,cep_customer_features.trvl_strt_date,TRVL_STRT_DATE,CustTravelDepartureDate,P2D,,,,
Double,cep_customer_features.tran_acct_prsl_sum_oapf,TRX_SUM_OVDR_APP_FEES_AMT,TxAccountSumODApprovalFees,P2D,,,,
BooleanString,cep_customer_features.gdw_trig_ul_ofi_flag,UL_OFI_FLAG,UnLOFIFlag,P2D,,,,
Double,cep_customer_features.vtb_cr_lmit_incs,VFP_CLI_SCORE,ValueFinPosCLI,P1Y,,,,
Double,cep_customer_features.vtb_clv,VFP_CLV,ValueFinPosClv,P1Y,,,,
Double,cep_customer_features.vtb_prem_ckin_fhc,VFP_FHC_CHCKIN_PR,ValueFinPosFHCCheckInPremier,P1Y,,,,
Double,cep_customer_features.vtb_clv,VFP_FHC_CUST_CHCK,ValueFinPosFHCCustCheckIn,P1Y,,,,
Double,cep_customer_features.vtb_mass_fhc,VFP_FHC_MSS_SCORE,ValueFinPosFHCMass,P1Y,,,,
Double,cep_customer_features.vtb_prem_fhc,VFP_FHC_PR,ValueFinPoslFHCPremier,P1Y,,,,
Double,cep_customer_features.vtb_hl,VFP_HL_SCORE,ValueFinPosHomeLoans,P1Y,,,,
Double,cep_customer_features.vtb_miss_cust_dtls,VFP_MISSING_DTL,ValueFinPosMissingCustDetails,P1Y,,,,
Double,cep_customer_features.vtb_crcd,VFP_PERS_CC_SCORE,ValueFinPosPersonalCC,P1Y,,,,
Double,cep_customer_features.vtb_icmp_pl_appt,VFP_PL_APP_INCOMP,ValueFinPosIncompleteAppPL,P1Y,,,,
Double,cep_customer_features.vtb_pl,VFP_PL_SCORE,ValueFinPosPersonalLoans,P1Y,,,,
Double,cep_customer_features.vtb_ovdr,VFP_POD_SCORE,ValueFinPosPersonalOverdraft,P1Y,,,,
Double,cep_customer_features.vtb_save,VFP_SAVINGS,ValueFinPosSavings,P1Y,,,,
String,cep_customer_features.visa_type,VISA_TYPE,VisaType,P1D,20,,,
Double,cep_customer_features.vloc_sum_acct_limt,VLOC_SUM_ACCT_LIMT,VLOCSumAccountLimit,P2D,,,,
BooleanString,cep_customer_features.opt_out_web_new_prod,WEB_NP_OPT_OUT_F,WebNewProdOptOutFlag,P1D,,,,
BooleanString,cep_customer_features.opt_out_web_prod_upgd,WEB_PU_OPT_OUT_F,WebProdUpgrdOptOutFlag,P1D,,,,
Double,cep_customer_features.wlth_pack_annl_fee,WLTH_PACK_ANNL_FEE,WlthPackAnnlFee,P2D,,,,
Integer,cep_customer_features.wlth_pack_cnt,WLTH_PACK_CNT,CountWealthPackage,P2D,,,,
Double,cep_customer_features.wlth_pack_estb_fee,WLTH_PACK_ESTB_FEE,WlthPackEstbFee,P2D,,,,
String,cep_customer_features.wlth_pack_fee_exmt_id,WLTH_PACK_FEE_EXMT_ID,WlthPackFeeExmtID,P2D,20,,,
String,cep_customer_features.wlth_pack_fee_exmt_reas,WLTH_PACK_FEE_EXMT_REAS,WlthPackFeeExmtReas,P2D,20,,,
Date,cep_customer_features.wlth_pack_rnew_date,WLTH_PACK_RNEW_DATE,WlthPackRnewDate,P2D,,,,
Date,cep_customer_features.wlth_pack_strt_date,WLTH_PACK_STRT_DATE,WlthPackStrtDate,P2D,,,,
String,cep_customer_features.wlth_pack_type_id,WLTH_PACK_TYPE_ID,WlthPackTypeId,P2D,20,,,
