type,omnianame,spinename,peganame,freshness,typelimit,typesourceTimeZone,typetargetTimeZone,typename
BooleanString,cep_customer_features.gdw_trig_cust_excl_for_stat_flag,CUST_EXCL_FOR_STAT_F,CustExclusionsForState,P2D,,,,
String,cep_customer_features.foot_band,CUST_FOOT_BAND,CustomerFootingBand,P2D,100,,,
DenseDate,cep_customer_features.cust_frst_acct_open_date,CUST_FRST_ACCT_DATE,CustomerFirstAcctDate,P1D,,,,
String,cep_customer_features.cust_gndr,CUST_GNDR_CODE,GenderCode,P2D,5,,,
BooleanString,cep_customer_features.cust_has_cfs_flag,CUST_HAS_CFS_FLAG,CustHasCFSProduct,P1D,,,,
BooleanString,cep_customer_features.cust_has_es_flag,CUST_HAS_ES_FLAG,CustHasESProduct,P1D,,,,
BooleanString,cep_customer_features.cust_has_gs_flag,CUST_HAS_GS_FLAG,CustHasGSProduct,P1D,,,,
BooleanString,cep_customer_features.cust_hrds_flag,CUST_HRDS_FLAG,FinancialHardshipFlag,P2D,,,,
BooleanString,cep_customer_features.cust_ifa_flag,CUST_IFA_FLAG,CustIFAFlag,P2D,,,,
String,cep_customer_features.cust_mari_stus,CUST_MARI_STUS_CODE,MaritalStatus,P2D,5,,,
BooleanString,cep_customer_features.cust_mfs_flag,CUST_MFS_FLAG,CustomerMFSFlag,P2D,,,,
BooleanString,cep_customer_features.cust_npp_clik_notc_me_flag,CUST_NPP_CLIK_NOTC_ME_FLAG,CustNppClikNotcMeFlag,P2D,,,,
String,cep_customer_features.cust_ntb_id,CUST_NTB_ID,CustomerNetbankId,P1D,30,,,
String,cep_customer_features.cust_paty_code,CUST_PATY_CODE,PatyCode,P2D,10,,,
String,cep_customer_features.dummy_feature_name,CUST_PHYS_LOCN,PhysicalLocation,P2D,30,,,
String,cep_customer_features.cust_post_code,CUST_POST_CODE,PostCode,P2D,10,,,
BooleanString,cep_customer_features.cust_regr_npp,CUST_REGR_NPP,CustRegrNPP,P2D,,,,
String,customer_persona.cust_sa1,CUST_SA1,CustSa1,P2D,102,,,
Date,cep_customer_features.gdw_onb_strt_d,CUST_START_DATE,StartDate,P1D,,,,
String,cep_customer_features.cust_stat_code,CUST_STAT_CODE,StateCode,P2D,30,,,
String,cep_customer_features.cust_stus_amlv,CUST_STUS_AMLV,CustStusAMLV,P2D,255,,,
String,cep_customer_features.cust_stus_fatc,CUST_STUS_FATC,StatusCodeFATC,P2D,255,,,
String,cep_customer_features.cust_surb,CUST_SURB,Suburb,P2D,100,,,
Date,cep_customer_features.cust_verf_date,CUST_VERF_DATE,CustomerVerificationDate,P2D,,,,
Double,cep_customer_features.cv30_clv,CV30_CLV,CV30RiskAdjustedRevenue,P2D,,,,
Double,cep_customer_features.cv30_crcd_low_rate_incr,CV30_CRCD_LOW_RATE_INCR,CV30CCLowRateIncremental,P2D,,,,
Double,cep_customer_features.cv30_crcd_prem_incr,CV30_CRCD_PREM_INCR,Cv30CCPremiumIncremental,P2D,,,,
